Reference, Value, Footprint, Datasheet
J2,SBC6303 BUS,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal,~
C1,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C2,10pF,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C3,50pF,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C4,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C5,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C6,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C7,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C8,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C9,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C10,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C11,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C12,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C13,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
D1,1N4007,Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal,~
D2,LED_A13,LED_THT:LED_D3.0mm,~
D3,LED_A14,LED_THT:LED_D3.0mm,~
H1,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
H2,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
H3,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
H4,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
J1,Video Out,RCA:RCAConAE, ~
JP1,8000-JP,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,~
JP2,A000-JP,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,~
Q1,2SA1015,Package_TO_SOT_THT:TO-92_Inline,http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf
Q2,2SC1815,Package_TO_SOT_THT:TO-92_Inline,https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf
R1,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,~
R2,360,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R3,560,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R4,3.9k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R5,75,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R6,3.3k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R7,470,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R8,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R9,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
RV1,1k,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,~
U1,MC6847,Package_DIP:DIP-40_W15.24mm_Socket_LongPads,
U10,74LS138,Package_DIP:DIP-16_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS138
U2,MC1372,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,
U3,74LS32,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS32
U4,74HCT573,Package_DIP:DIP-20_W7.62mm_Socket_LongPads,74xx/74hc573.pdf
U5,74LS02,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74hc02
U6,74LS244,Package_DIP:DIP-20_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS244
U7,74LS245,Package_DIP:DIP-20_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS245
U8,62256,Package_DIP:DIP-28_W15.24mm_Socket_LongPads,https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf
U9,74LS244,Package_DIP:DIP-20_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS244
Y1,3.579545MHz,Crystal:Crystal_HC49-U_Vertical,~
